"Order Number","Date","Type","Items","Total Amount","Cashier","Status","Remitted"
"#88468020","Nov 1, 2025, 03:08 PM","Dine In","5x Longsilog","P1225.00","Cedric Kyle Belisario","completed","No"
"#86509804","Nov 1, 2025, 03:07 PM","Dine In","10x Bacsilog","P1950.00","Cedric Kyle Belisario","completed","No"
"#84595014","Nov 1, 2025, 03:07 PM","Dine In","2x Beef and Mushroom","P740.00","Cedric Kyle Belisario","completed","No"

"SUMMARY"
"Total Orders in Period","3"
"Already Remitted","0"
"To be Remitted","3"

"FINANCIAL SUMMARY (UNREMITTER ORDERS ONLY)"
"Gross Sales","P3915.00"
"Refunds","P0.00"
"Voided Amount","P0.00"
"Net Sales","P3915.00"
"Amount to Remit","P3915.00"
