"Order Number","Date","Type","Items","Total Amount","Cashier","Status","Remitted"
"#70677527","Nov 3, 2025, 01:11 PM","Take Out","3x Longsilog, 1x Pork Sisig, 1x Pork Steak, 1x T-Bone Steak","P1585.00","Cedric Kyle Belisario","completed","No"
"#28541818","Nov 3, 2025, 12:48 PM","Dine In","42x Beef and Mushroom","P16380.00","Cedric Kyle Belisario","completed","No"
"#25967499","Nov 3, 2025, 12:47 PM","Dine In","15x Beef and Mushroom","P5850.00","Cedric Kyle Belisario","completed","No"
"#21187816","Nov 3, 2025, 12:46 PM","Dine In","82x Bacsilog","P15990.00","Cedric Kyle Belisario","completed","No"
"#17911907","Nov 3, 2025, 12:46 PM","Dine In","5x Bacsilog","P975.00","Cedric Kyle Belisario","completed","No"
"#05099340","Nov 3, 2025, 12:44 PM","Dine In","5x Pork Sisig, 7x Bacsilog","P2615.00","Cedric Kyle Belisario","completed","No"

"SUMMARY"
"Total Orders in Period","6"
"Already Remitted","0"
"To be Remitted","6"

"FINANCIAL SUMMARY (UNREMITTER ORDERS ONLY)"
"Gross Sales","P43395.00"
"Refunds","P0.00"
"Voided Amount","P0.00"
"Net Sales","P43395.00"
"Amount to Remit","P43395.00"
